Date,Time,TOTAL PEOPLE IN
2016-09-12,8:57:00,144
2016-09-12,8:57:00,144
2016-09-12,8:58:00,144
2016-09-12,8:57:00,144
2016-09-12,8:58:00,145
2016-09-12,8:58:00,146
2016-09-12,8:58:00,147
2016-09-12,8:58:00,147
2016-09-12,8:58:00,147
2016-09-12,8:58:00,148
2016-09-12,8:58:00,148
2016-09-12,8:59:00,149
2016-09-12,8:59:00,149
2016-09-12,9:00:00,149
2016-09-12,9:00:00,149
2016-09-12,9:00:00,150
2016-09-12,9:00:00,149
2016-09-12,9:00:00,149
2016-09-12,9:01:00,150
2016-09-12,9:01:00,151
2016-09-12,9:01:00,151
2016-09-12,9:01:00,151
2016-09-12,9:01:00,151
2016-09-12,9:01:00,151
2016-09-12,9:02:00,152
2016-09-12,9:02:00,152
2016-09-12,9:03:00,152
2016-09-12,9:03:00,152
2016-09-12,9:03:00,152
2016-09-12,9:04:00,152
2016-09-12,9:04:00,153
2016-09-12,9:05:00,153
2016-09-12,9:05:00,153
2016-09-12,9:05:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,153
2016-09-12,9:06:00,154
2016-09-12,9:06:00,154
2016-09-12,9:06:00,154
2016-09-12,9:06:00,154
2016-09-12,9:06:00,155
2016-09-12,9:07:00,155
2016-09-12,9:07:00,155
2016-09-12,9:07:00,155
2016-09-12,9:08:00,155
2016-09-12,9:08:00,155
2016-09-12,9:08:00,155
2016-09-12,9:08:00,156
2016-09-12,9:09:00,156
2016-09-12,9:09:00,156
2016-09-12,9:09:00,156
2016-09-12,9:10:00,156
2016-09-12,9:10:00,157
2016-09-12,9:10:00,157
2016-09-12,9:11:00,157
2016-09-12,9:11:00,157
2016-09-12,9:11:00,156
2016-09-12,9:11:00,157
2016-09-12,9:11:00,157
2016-09-12,9:12:00,157
2016-09-12,9:13:00,157
2016-09-12,9:13:00,157
2016-09-12,9:14:00,157
2016-09-12,9:14:00,157
2016-09-12,9:15:00,157
2016-09-12,9:16:00,157
2016-09-12,9:17:00,157
2016-09-12,9:17:00,157
2016-09-12,9:17:00,158
2016-09-12,9:17:00,158
2016-09-12,9:17:00,158
2016-09-12,9:17:00,158
2016-09-12,9:18:00,159
2016-09-12,9:18:00,159
2016-09-12,9:21:00,159
2016-09-12,9:21:00,159
2016-09-12,9:21:00,160
2016-09-12,9:22:00,160
2016-09-12,9:22:00,161
2016-09-12,9:22:00,161
2016-09-12,9:23:00,161
2016-09-12,9:24:00,161
2016-09-12,9:24:00,161
2016-09-12,9:24:00,161
2016-09-12,9:25:00,161
2016-09-12,9:25:00,161
2016-09-12,9:25:00,161
2016-09-12,9:25:00,162
2016-09-12,9:25:00,163
2016-09-12,9:25:00,163
2016-09-12,9:26:00,163
2016-09-12,9:26:00,163
2016-09-12,9:27:00,163
2016-09-12,9:27:00,164
2016-09-12,9:27:00,164
2016-09-12,9:28:00,164
2016-09-12,9:29:00,164
2016-09-12,9:29:00,164
2016-09-12,9:29:00,164
2016-09-12,9:29:00,164
2016-09-12,9:29:00,164
2016-09-12,9:29:00,164
2016-09-12,9:30:00,164
2016-09-12,9:30:00,164
2016-09-12,9:31:00,164
2016-09-12,9:31:00,165
2016-09-12,9:31:00,165
2016-09-12,9:31:00,165
2016-09-12,9:31:00,166
2016-09-12,9:32:00,166
2016-09-12,9:32:00,166
2016-09-12,9:32:00,166
2016-09-12,9:32:00,166
2016-09-12,9:33:00,166
2016-09-12,9:33:00,166
2016-09-12,9:34:00,166
2016-09-12,9:34:00,167
2016-09-12,9:35:00,167
2016-09-12,9:35:00,166
2016-09-12,9:35:00,166
2016-09-12,9:36:00,166
2016-09-12,9:36:00,166
2016-09-12,9:37:00,166
2016-09-12,9:37:00,166
2016-09-12,9:38:00,166
2016-09-12,9:39:00,166
2016-09-12,9:39:00,166
2016-09-12,9:42:00,166
2016-09-12,9:42:00,165
2016-09-12,9:43:00,165
2016-09-12,9:43:00,165
2016-09-12,9:45:00,165
2016-09-12,9:46:00,165
2016-09-12,9:47:00,165
2016-09-12,9:47:00,165
2016-09-12,9:47:00,165
2016-09-12,9:49:00,165
2016-09-12,9:49:00,165
2016-09-12,9:49:00,165
2016-09-12,9:50:00,166
2016-09-12,9:50:00,166
2016-09-12,9:52:00,166
2016-09-12,9:53:00,166
2016-09-12,9:53:00,166
2016-09-12,9:53:00,166
2016-09-12,9:53:00,167
